My Life and Work by Henry Ford
Pizza Tiger	by Monaghan, Tom
Dave's Way	by Thomas, Dave
Bloomberg by Bloomberg	by Michael Bloomberg
The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company	by Robert Iger
Invent & Wander	by Bezos, Jeff
Winning	by Welch, Jack
Rework	by Jason Fried
The Martha Rules: 10 Essentials for Achieving Success as You Start, Grow, or Manage a Business	by Stewart, Martha
Execution: The Discipline of Getting Things Done	by Bossidy, Larry
Eat Mor Chikin: Inspire More People	by S Truett Cathy
My Life & Principles for Success	by Ross Perot
Time to Make the Donuts	by Rosenberg, William
Straight from the Gut	by Welch, Jack
Business @ the Speed of Thought: Succeeding in the Digital Economy	by Gates, Bill
Direct from Dell: Strategies that Revolutionized an Industry	by Dell, Michael
Father, Son & Co.: My Life at IBM and Beyond	by Watson, Jr., Thomas J.
Pour Your Heart into It : How Starbucks Built a Company One Cup at a Time	by Schultz, Howard
Work in Progress	by Eisner, Michael
An Enterprising Life	by Jay van Andel
Sam Walton: Made in America	by Walton, Sam
No Excuses Management	by Rodgers, TJ
Soros on Soros: Staying Ahead of the Curve	by George Soros
Only The Paranoid Survive	by Grove, Andrew
The HP Way : How Bill Hewlett and I Built Our Company	by Packard, David
Personal History	by Katharine Graham
My Years with General Motors	by Sloan, Alfred
Life as I Have Known It Has Been Finger Lickin' Good	by Harland Sanders
Iacocca: An Autobiography	by Iacocca, Lee
Grinding It Out: The Making of McDonald's	by Kroc, Ray
J.R.D Tata: Beyond the Last Blue Mountain	by R. M. Lala
The Science of Success: How Market-Based Management Built the World's Largest Private Company	by Charles Koch
Call Me Ted	by Ted Turner
Behind the Cloud	by Marc Benioff
Delivering Happiness: A Path to Profits, Passion, and Purpose	by Tony Hsieh
The Start-up of You	by Reid Hoffman
Confessions of an Advertising Man	by David Ogilvy
Simply Rich	by Rich de Vos
How Google Works	by Eric Schmidt
Shoe Dog	by Phil Knight
Papa: The Story of Papa John's Pizza	by John Schnatter
Hit Refresh	by Satya Nadella
Winners Dream	by Bill McDermott
